0 RMx(value) RMy(value) RFz(value) 
3.29991 0 0 0 
3.30489 0 0 0 
3.30985 0 0 0 
3.31486 0 0 0 
3.31989 0 0 0 
3.32489 0 0 0 
3.32989 0 0 0 
3.33489 0 0 0 
3.33991 0 0 0 
3.34489 0 0 0 
3.34992 0 0 0 
3.35489 0 0 0 
3.35989 0 0 0 
3.36489 0 0 0 
3.36988 0 0 0 
3.3749 0 0 0 
3.37983 0 0 0 
3.38489 0 0 0 
3.38985 0 0 0 
3.39484 0 0 0 
3.39987 0 0 0 
3.40489 0 0 0 
3.40991 0 0 0 
3.41489 0 0 0 
3.41989 0 0 0 
3.42489 0 0 0 
3.4299 0 0 0 
3.43489 0 0 0 
3.43989 0 0 0 
3.44489 0 0 0 
3.44989 0 0 0 
3.45489 0 0 0 
3.45991 0 0 0 
3.46489 0 0 0 
3.4699 0 0 0 
3.47489 0 0 0 
3.47989 0 0 0 
3.48489 0 0 0 
3.48989 0 0 0 
3.49489 0 0 0 
3.49989 0 0 0 
3.50489 0 0 0 
3.50991 0 0 0 
3.51489 0 0 0 
3.51989 0 0 0 
3.52489 0 0 0 
3.52991 0 0 0 
3.53489 0 0 0 
3.53989 0 0 0 
3.54486 0 0 0 
3.54989 0 0 0 
3.55489 0 0 0 
3.55989 0 0 0 
3.56489 0 0 0 
3.5699 0 0 0 
3.57489 0 0 0 
3.57991 0 0 0 
3.58489 0 0 0 
3.58989 0 0 0 
3.59489 0 0 0 
3.59989 0 0 0 
3.60489 0 0 0 
3.60991 0 0 0 
3.61489 0 0 0 
3.61986 0 0 0 
3.62485 0 0 0 
3.62989 0 0 0 
3.63489 0 0 0 
3.63989 0 0 0 
3.64489 0 0 0 
3.64989 0 0 0 
3.65485 0 0 0 
3.65991 0 0 0 
3.66489 0 0 0 
3.66989 0 0 0 
3.67489 0 0 0 
3.67989 0 0 0 
3.68489 0 0 0 
3.68987 0 0 0 
3.69489 0 0 0 
3.69986 0 0 0 
3.70489 0 0 0 
3.70991 0 0 0 
3.71489 0 0 0 
3.71989 0 0 0 
3.72489 0 0 0 
3.72991 0 0 0 
3.73489 0 0 0 
3.73986 0 0 0 
3.74489 0 0 0 
3.7499 0 0 0 
3.75485 0 0 0 
3.75989 0 0 0 
3.76489 0 0 0 
3.76989 0 0 0 
3.77489 0 0 0 
3.77984 0 0 0 
3.78489 0 0 0 
3.7899 0 0 0 
3.79489 0 0 0 
3.79989 0 0 0 
3.80483 0 0 0 
3.80986 0 0 0 
3.81489 0 0 0 
3.81991 0 0 0 
3.82489 0 0 0 
3.82991 0 0 0 
3.83489 0 0 0 
3.83989 0 0 0 
3.84489 0 0 0 
3.84991 0 0 0 
3.85489 0 0 0 
3.85989 0 0 0 
3.86486 0 0 0 
3.86991 0 0 0 
3.8749 0 0 0 
3.87989 0 0 0 
3.88489 0 0 0 
3.88991 0 0 0 
3.89489 0 0 0 
3.89991 0 0 0 
3.90489 0 0 0 
3.90989 0 0 0 
3.91489 0 0 0 
3.91986 0 0 0 
3.92485 0 0 0 
3.92991 0 0 0 
3.93489 0 0 0 
3.93991 0 0 0 
3.94489 0 0 0 
3.94991 0 0 0 
3.95489 0 0 0 
3.9599 0 0 0 
3.96489 0 0 0 
3.96991 0 0 0 
3.97489 0 0 0 
3.97991 0 0 0 
3.98488 0 0 0 
3.98985 0 0 0 
3.99484 0 0 0 
3.99983 0 0 0 
4.00489 0 0 0 
4.00989 0 0 0 
4.01489 0 0 0 
4.01986 0 0 0 
4.02489 0 0 0 
4.02992 0 0 0 
4.03489 0 0 0 
4.03989 0 0 0 
4.04489 0 0 0 
4.04991 0 0 0 
4.05489 0 0 0 
4.0599 0 0 0 
4.06489 0 0 0 
4.06991 0 0 0 
4.07489 0 0 0 
4.07986 0 0 0 
4.08483 0 0 0 
4.08991 0 0 0 
4.09489 0 0 0 
4.09991 0 0 0 
4.10489 0 0 0 
4.1099 0 0 0 
4.11485 0 0 0 
4.11986 0 0 0 
4.12485 0 0 0 
4.12989 0 0 0 
4.13489 0 0 0 
4.13985 0 0 0 
4.14489 0 0 0 
4.14991 0 0 0 
4.15489 0 0 0 
4.15989 0 0 0 
4.16489 0 0 0 
4.16989 0 0 0 
4.17489 0 0 0 
4.17989 0 0 0 
4.18486 0 0 0 
4.18991 0 0 0 
4.19489 0 0 0 
4.19989 0 0 0 
4.20489 0 0 0 
4.20991 0 0 0 
4.21489 0 0 0 
4.21989 0 0 0 
4.22489 0 0 0 
4.22989 0 0 0 
4.23489 0 0 0 
4.23985 0 0 0 
4.24489 0 0 0 
4.24991 0 0 0 
4.25489 0 0 0 
4.25991 0 0 0 
4.26489 0 0 0 
4.26989 0 0 0 
4.27489 0 0 0 
4.27989 0 0 0 
4.28489 0 0 0 
4.28991 0 0 0 
4.29487 0 0 0 
4.29991 0 0 0 
4.30489 0 0 0 
4.30985 0 0 0 
4.31489 0 0 0 
4.31989 0 0 0 
4.32489 0 0 0 
4.32989 0 0 0 
4.33489 0 0 0 
4.33991 0 0 0 
4.34489 0 0 0 
4.34987 0 0 0 
4.35489 0 0 0 
4.3599 0 0 0 
4.36489 0 0 0 
4.36989 0 0 0 
4.37489 0 0 0 
4.3799 0 0 0 
4.38489 0 0 0 
4.38991 0 0 0 
4.39489 0 0 0 
4.39989 0 0 0 
4.40489 0 0 0 
4.40991 0 0 0 
4.41489 0 0 0 
4.41989 0 0 0 
4.42489 0 0 0 
4.4299 0 0 0 
4.43489 0 0 0 
4.43989 0 0 0 
4.44489 0 0 0 
4.44986 0 0 0 
4.45489 0 0 0 
4.45991 0 0 0 
4.46489 0 0 0 
4.4699 0 0 0 
4.47489 0 0 0 
4.47989 0 0 0 
4.48489 0 0 0 
4.48989 0 0 0 
4.49489 0 0 0 
4.49989 0 0 0 
4.50489 0 0 0 
4.50991 0 0 0 
4.51486 0 0 0 
4.51989 0 0 0 
4.5249 0 0 0 
4.52991 0 0 0 
4.53489 0 0 0 
4.53989 0 0 0 
4.54489 0 0 0 
4.54989 0 0 0 
4.55489 0 0 0 
4.55989 0 0 0 
4.56489 0 0 0 
4.56991 0 0 0 
4.57489 0 0 0 
4.5799 0 0 0 
4.58489 0 0 0 
4.58984 0 0 0 
4.59485 0 0 0 
4.59984 0 0 0 
4.60488 0 0 0 
4.60991 0 0 0 
4.61489 0 0 0 
4.61983 0 0 0 
4.62488 0 0 0 
4.62991 0 0 0 
4.63489 0 0 0 
4.63989 0 0 0 
4.64489 0 0 0 
4.6499 0 0 0 
4.65486 0 0 0 
4.65991 0 0 0 
4.66489 0 0 0 
4.66986 0 0 0 
4.67489 0 0 0 
4.67985 0 0 0 
4.68489 0 0 0 
4.68989 0 0 0 
4.69489 0 0 0 
4.6999 0 0 0 
4.70483 0 0 0 
4.70991 0 0 0 
4.71489 0 0 0 
4.71989 0 0 0 
4.72489 0 0 0 
4.72991 0 0 0 
4.73489 0 0 0 
4.7399 0 0 0 
4.74484 0 0 0 
4.74986 0 0 0 
4.75487 0 0 0 
4.75987 0 0 0 
4.76487 0 0 0 
4.76987 0 0 0 
4.77487 0 0 0 
4.77987 0 0 0 
4.78486 0 0 0 
4.78987 0 0 0 
4.79484 0 0 0 
4.79987 0 0 0 
4.80487 0 0 0 
4.80986 0 0 0 
4.81489 0 0 0 
4.81991 0 0 0 
4.82486 0 0 0 
4.82991 0 0 0 
4.83485 0 0 0 
4.83989 0 0 0 
4.84489 0 0 0 
4.84991 0 0 0 
